court_id	docket_no	caption	media_url	media_size	counsel	issues	judges	argued	original_media_url
cafc	2005-5128	Blackstone Consulting Inc v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5128.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5128.mp3
cafc	2005-1269	+Kinzenbaw v Case LLC	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1269.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1269.mp3
cafc	2005-1483	Kinzenbaw v Case LLC	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1483.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1483.mp3
cafc	2005-3161	King v USPS	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3161.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3161.mp3
cafc	2005-5151	Pappas v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5151.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5151.mp3
cafc	2005-5151	Pappas v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5151.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5151.mp3
cafc	2005-3161	King v USPS	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3161.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3161.mp3
cafc	2005-1483	Kinzenbaw v Case LLC	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1483.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1483.mp3
cafc	2005-1269	+Kinzenbaw v Case LLC	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1269.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1269.mp3
cafc	2005-5128	Blackstone Consulting Inc v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5128.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5128.mp3
cafc	2005-1404	+Nippon Steel Corporation v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1404.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1404.mp3
cafc	2005-1173	+Sun Coast v CCL Products	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1173.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1173.mp3
cafc	2005-1460	Affymetrix Inc v Multilyte LTD	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1460.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1460.mp3
cafc	2005-5142	Rex Service Corp v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5142.mp3					2006-03-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5142.mp3
cafc	2005-1436	Ace Antenna Company v Hoffman	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1436.mp3					2006-03-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1436.mp3
cafc	2005-1250	Hovanec v USPS	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1250.mp3					2006-03-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1250.mp3
cafc	2005-1319	+Kwik Products v National Express	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1319.mp3					2006-03-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1319.mp3
cafc	2005-1445	Fuji Photo Film v Benun	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1445.mp3					2006-03-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1445.mp3
cafc	2005-1493	Parental Guide of TX v Thomson Inc	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1493.mp3					2006-03-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1493.mp3
cafc	2005-5155	Lewis v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5155.mp3					2006-03-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5155.mp3
cafc	2005-3192	Wright v MSPB	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3192.mp3					2006-03-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3192.mp3
cafc	2005-1329	Revolution Eyewear v Aspex Eyewear	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1329.mp3					2006-03-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1329.mp3
cafc	2005-1608	Apotex v Sanofi	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1608.mp3					2006-03-08	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1608.mp3
